title,location,experience,salary,description,skills
ML Engineer,Hyderabad,0-2 Years,700000,Looking for ML Engineer,"Machine Learning, Power BI, React, Python"
ML Engineer,Bangalore,2-5 Years,1000000,Looking for ML Engineer,"SQL, Machine Learning, Java, Python"
Cloud Engineer,Pune,0-2 Years,600000,Looking for Cloud Engineer,"Excel, Tableau, Kubernetes, Java"
DevOps Engineer,Chennai,2-5 Years,900000,Looking for DevOps Engineer,"SQL, React, Excel, C++"
Full Stack Developer,Delhi,5-8 Years,1700000,Looking for Full Stack Developer,"Spark, TensorFlow, Kubernetes, Power BI"
DevOps Engineer,Mumbai,8+ Years,3700000,Looking for DevOps Engineer,"Python, Tableau, React, Machine Learning"
AI Engineer,Pune,5-8 Years,2300000,Looking for AI Engineer,"C++, Power BI, SQL, Tableau"
Data Analyst,Delhi,2-5 Years,1300000,Looking for Data Analyst,"Excel, Java, Kubernetes, Spark"
ML Engineer,Bangalore,5-8 Years,2200000,Looking for ML Engineer,"Kubernetes, React, Java, C++"
Frontend Developer,Bangalore,5-8 Years,1600000,Looking for Frontend Developer,"Excel, Machine Learning, Java, React"
Backend Developer,Hyderabad,8+ Years,2600000,Looking for Backend Developer,"Excel, TensorFlow, Java, Kubernetes"
AI Engineer,Delhi,2-5 Years,1100000,Looking for AI Engineer,"React, Docker, Kubernetes, Python"
Cloud Engineer,Bangalore,8+ Years,4000000,Looking for Cloud Engineer,"SQL, Power BI, React, Machine Learning"
Backend Developer,Mumbai,5-8 Years,1800000,Looking for Backend Developer,"Python, TensorFlow, Machine Learning, Spark"
Full Stack Developer,Bangalore,0-2 Years,800000,Looking for Full Stack Developer,"Java, Spark, React, C++"
Backend Developer,Delhi,0-2 Years,500000,Looking for Backend Developer,"Java, Kubernetes, Python, C++"
DevOps Engineer,Mumbai,2-5 Years,900000,Looking for DevOps Engineer,"SQL, Excel, Tableau, C++"
Data Scientist,Hyderabad,5-8 Years,2500000,Looking for Data Scientist,"Spark, React, Kubernetes, Power BI"
Data Scientist,Mumbai,2-5 Years,1500000,Looking for Data Scientist,"Python, Tableau, Docker, Kubernetes"
DevOps Engineer,Hyderabad,2-5 Years,1500000,Looking for DevOps Engineer,"AWS, TensorFlow, Python, React"
Data Scientist,Delhi,8+ Years,2900000,Looking for Data Scientist,"Power BI, TensorFlow, Excel, Tableau"
Cloud Engineer,Pune,2-5 Years,1500000,Looking for Cloud Engineer,"SQL, Kubernetes, Java, TensorFlow"
Backend Developer,Pune,0-2 Years,600000,Looking for Backend Developer,"Excel, Kubernetes, Spark, Java"
Full Stack Developer,Mumbai,2-5 Years,1300000,Looking for Full Stack Developer,"Machine Learning, Java, Excel, Spark"
Data Analyst,Delhi,0-2 Years,800000,Looking for Data Analyst,"Spark, Machine Learning, Kubernetes, Python"
DevOps Engineer,Hyderabad,2-5 Years,1500000,Looking for DevOps Engineer,"SQL, Docker, Power BI, Python"
AI Engineer,Mumbai,5-8 Years,2000000,Looking for AI Engineer,"SQL, Power BI, TensorFlow, Machine Learning"
Full Stack Developer,Chennai,5-8 Years,1600000,Looking for Full Stack Developer,"Java, Spark, Machine Learning, AWS"
Frontend Developer,Delhi,2-5 Years,800000,Looking for Frontend Developer,"Spark, TensorFlow, AWS, React"
Frontend Developer,Mumbai,8+ Years,3900000,Looking for Frontend Developer,"Spark, Java, Machine Learning, React"
Data Scientist,Hyderabad,5-8 Years,2400000,Looking for Data Scientist,"C++, Python, Machine Learning, React"
Data Analyst,Bangalore,2-5 Years,1100000,Looking for Data Analyst,"Machine Learning, Power BI, TensorFlow, Tableau"
Data Scientist,Bangalore,5-8 Years,1500000,Looking for Data Scientist,"SQL, Python, AWS, React"
Cloud Engineer,Bangalore,8+ Years,3600000,Looking for Cloud Engineer,"Docker, AWS, Java, Python"
AI Engineer,Bangalore,0-2 Years,700000,Looking for AI Engineer,"Power BI, Tableau, Docker, Excel"
Data Scientist,Bangalore,8+ Years,3700000,Looking for Data Scientist,"TensorFlow, React, Machine Learning, Python"
Frontend Developer,Hyderabad,8+ Years,3100000,Looking for Frontend Developer,"Java, Machine Learning, React, Excel"
Backend Developer,Mumbai,5-8 Years,1900000,Looking for Backend Developer,"TensorFlow, Tableau, Python, React"
DevOps Engineer,Pune,0-2 Years,800000,Looking for DevOps Engineer,"Python, Spark, Excel, Java"
AI Engineer,Pune,5-8 Years,1800000,Looking for AI Engineer,"AWS, Python, Tableau, TensorFlow"
Data Scientist,Chennai,0-2 Years,700000,Looking for Data Scientist,"AWS, Spark, React, Kubernetes"
DevOps Engineer,Hyderabad,5-8 Years,2500000,Looking for DevOps Engineer,"Kubernetes, C++, AWS, Machine Learning"
ML Engineer,Pune,0-2 Years,800000,Looking for ML Engineer,"Python, SQL, Java, AWS"
Backend Developer,Delhi,5-8 Years,2100000,Looking for Backend Developer,"Power BI, Tableau, Java, Python"
DevOps Engineer,Mumbai,8+ Years,2500000,Looking for DevOps Engineer,"SQL, C++, TensorFlow, Kubernetes"
Full Stack Developer,Mumbai,0-2 Years,800000,Looking for Full Stack Developer,"Excel, Machine Learning, Power BI, Spark"
Full Stack Developer,Pune,8+ Years,2500000,Looking for Full Stack Developer,"Kubernetes, Spark, React, Python"
Cloud Engineer,Delhi,2-5 Years,1100000,Looking for Cloud Engineer,"C++, Docker, Tableau, Excel"
DevOps Engineer,Hyderabad,0-2 Years,800000,Looking for DevOps Engineer,"Excel, Machine Learning, Power BI, Tableau"
DevOps Engineer,Hyderabad,8+ Years,3200000,Looking for DevOps Engineer,"C++, TensorFlow, Tableau, Spark"
Frontend Developer,Chennai,8+ Years,2700000,Looking for Frontend Developer,"Excel, Kubernetes, SQL, Python"
ML Engineer,Pune,0-2 Years,400000,Looking for ML Engineer,"C++, Excel, Power BI, Python"
Frontend Developer,Bangalore,0-2 Years,700000,Looking for Frontend Developer,"Excel, Kubernetes, Java, Docker"
Frontend Developer,Hyderabad,0-2 Years,400000,Looking for Frontend Developer,"Power BI, Python, Java, Kubernetes"
DevOps Engineer,Bangalore,8+ Years,3500000,Looking for DevOps Engineer,"Machine Learning, Docker, Kubernetes, Tableau"
Full Stack Developer,Pune,0-2 Years,700000,Looking for Full Stack Developer,"Python, SQL, Docker, Tableau"
Cloud Engineer,Mumbai,2-5 Years,1000000,Looking for Cloud Engineer,"Docker, Machine Learning, Power BI, React"
Cloud Engineer,Hyderabad,8+ Years,2600000,Looking for Cloud Engineer,"AWS, Python, React, Machine Learning"
Data Analyst,Chennai,0-2 Years,600000,Looking for Data Analyst,"React, TensorFlow, SQL, Python"
Data Analyst,Delhi,0-2 Years,800000,Looking for Data Analyst,"AWS, Java, Kubernetes, Excel"
Backend Developer,Delhi,2-5 Years,1300000,Looking for Backend Developer,"Java, Docker, Python, Tableau"
Backend Developer,Mumbai,2-5 Years,1200000,Looking for Backend Developer,"Excel, Power BI, AWS, Spark"
Data Scientist,Chennai,5-8 Years,2400000,Looking for Data Scientist,"AWS, React, TensorFlow, Kubernetes"
ML Engineer,Hyderabad,5-8 Years,1600000,Looking for ML Engineer,"Kubernetes, Power BI, Java, SQL"
Backend Developer,Delhi,8+ Years,3500000,Looking for Backend Developer,"SQL, Python, Java, Docker"
AI Engineer,Chennai,2-5 Years,1500000,Looking for AI Engineer,"Spark, AWS, SQL, Tableau"
ML Engineer,Chennai,2-5 Years,1500000,Looking for ML Engineer,"Spark, TensorFlow, Excel, AWS"
Backend Developer,Chennai,5-8 Years,2500000,Looking for Backend Developer,"Docker, Kubernetes, Python, React"
Data Analyst,Chennai,5-8 Years,2000000,Looking for Data Analyst,"Kubernetes, React, Spark, Docker"
Full Stack Developer,Hyderabad,0-2 Years,500000,Looking for Full Stack Developer,"Machine Learning, Tableau, Power BI, AWS"
Cloud Engineer,Chennai,8+ Years,3200000,Looking for Cloud Engineer,"React, C++, Kubernetes, Machine Learning"
Full Stack Developer,Hyderabad,8+ Years,2800000,Looking for Full Stack Developer,"Tableau, TensorFlow, AWS, Power BI"
AI Engineer,Mumbai,8+ Years,3200000,Looking for AI Engineer,"Kubernetes, Tableau, Machine Learning, React"
Data Analyst,Bangalore,0-2 Years,500000,Looking for Data Analyst,"Spark, Kubernetes, SQL, Machine Learning"
Cloud Engineer,Delhi,8+ Years,4000000,Looking for Cloud Engineer,"Docker, Spark, Machine Learning, Kubernetes"
DevOps Engineer,Delhi,0-2 Years,500000,Looking for DevOps Engineer,"React, SQL, Kubernetes, Machine Learning"
Cloud Engineer,Mumbai,0-2 Years,800000,Looking for Cloud Engineer,"Machine Learning, AWS, Docker, Spark"
Cloud Engineer,Chennai,5-8 Years,2300000,Looking for Cloud Engineer,"TensorFlow, Machine Learning, SQL, Docker"
Full Stack Developer,Chennai,2-5 Years,1300000,Looking for Full Stack Developer,"Spark, Power BI, React, Docker"
Backend Developer,Hyderabad,5-8 Years,1500000,Looking for Backend Developer,"Python, React, Spark, Machine Learning"
Cloud Engineer,Delhi,0-2 Years,800000,Looking for Cloud Engineer,"Tableau, React, Power BI, Java"
Full Stack Developer,Hyderabad,5-8 Years,1800000,Looking for Full Stack Developer,"Docker, C++, SQL, Spark"
Full Stack Developer,Bangalore,8+ Years,3300000,Looking for Full Stack Developer,"Java, Docker, AWS, Excel"
ML Engineer,Pune,5-8 Years,2300000,Looking for ML Engineer,"Java, TensorFlow, Python, AWS"
Full Stack Developer,Hyderabad,5-8 Years,2200000,Looking for Full Stack Developer,"Excel, Tableau, C++, Docker"
Frontend Developer,Hyderabad,2-5 Years,1400000,Looking for Frontend Developer,"SQL, Java, TensorFlow, Kubernetes"
Data Scientist,Hyderabad,2-5 Years,1500000,Looking for Data Scientist,"Python, React, Java, Excel"
Data Analyst,Bangalore,2-5 Years,1500000,Looking for Data Analyst,"AWS, Python, Machine Learning, Spark"
AI Engineer,Chennai,0-2 Years,500000,Looking for AI Engineer,"Excel, Machine Learning, SQL, Kubernetes"
ML Engineer,Chennai,5-8 Years,1600000,Looking for ML Engineer,"Excel, Kubernetes, AWS, React"
Backend Developer,Chennai,2-5 Years,1200000,Looking for Backend Developer,"Excel, Docker, Tableau, C++"
Backend Developer,Chennai,8+ Years,3200000,Looking for Backend Developer,"C++, Power BI, React, Java"
Frontend Developer,Bangalore,8+ Years,3500000,Looking for Frontend Developer,"TensorFlow, Java, Docker, Kubernetes"
ML Engineer,Mumbai,0-2 Years,500000,Looking for ML Engineer,"C++, Docker, Kubernetes, Tableau"
Cloud Engineer,Mumbai,8+ Years,4000000,Looking for Cloud Engineer,"C++, Excel, Machine Learning, React"
AI Engineer,Hyderabad,5-8 Years,1700000,Looking for AI Engineer,"Java, Spark, AWS, Power BI"
Data Analyst,Bangalore,5-8 Years,2000000,Looking for Data Analyst,"Java, Docker, SQL, Excel"
Frontend Developer,Bangalore,8+ Years,2500000,Looking for Frontend Developer,"Spark, React, Machine Learning, Kubernetes"
Cloud Engineer,Mumbai,0-2 Years,700000,Looking for Cloud Engineer,"C++, AWS, Java, SQL"
Full Stack Developer,Chennai,2-5 Years,1000000,Looking for Full Stack Developer,"Java, Tableau, C++, AWS"
Data Analyst,Delhi,8+ Years,2600000,Looking for Data Analyst,"SQL, Kubernetes, Spark, React"
Data Analyst,Chennai,5-8 Years,1800000,Looking for Data Analyst,"Power BI, SQL, AWS, Docker"
Full Stack Developer,Pune,2-5 Years,800000,Looking for Full Stack Developer,"Machine Learning, SQL, Docker, Power BI"
Data Analyst,Mumbai,0-2 Years,800000,Looking for Data Analyst,"Tableau, Power BI, Java, Excel"
DevOps Engineer,Hyderabad,8+ Years,3200000,Looking for DevOps Engineer,"Python, C++, TensorFlow, SQL"
Data Analyst,Hyderabad,0-2 Years,600000,Looking for Data Analyst,"Java, TensorFlow, SQL, Spark"
ML Engineer,Bangalore,5-8 Years,2100000,Looking for ML Engineer,"C++, Docker, Excel, Tableau"
DevOps Engineer,Hyderabad,8+ Years,2700000,Looking for DevOps Engineer,"Tableau, Spark, Python, Machine Learning"
Cloud Engineer,Pune,0-2 Years,500000,Looking for Cloud Engineer,"Kubernetes, SQL, TensorFlow, Machine Learning"
Data Analyst,Delhi,2-5 Years,1200000,Looking for Data Analyst,"TensorFlow, Power BI, SQL, Docker"
ML Engineer,Delhi,2-5 Years,800000,Looking for ML Engineer,"Power BI, AWS, Docker, C++"
Cloud Engineer,Mumbai,0-2 Years,800000,Looking for Cloud Engineer,"Kubernetes, Java, AWS, Docker"
Frontend Developer,Bangalore,0-2 Years,700000,Looking for Frontend Developer,"Spark, Machine Learning, Java, C++"
Cloud Engineer,Bangalore,2-5 Years,1000000,Looking for Cloud Engineer,"Tableau, Spark, Excel, React"
DevOps Engineer,Hyderabad,2-5 Years,1300000,Looking for DevOps Engineer,"AWS, Kubernetes, Python, React"
Frontend Developer,Hyderabad,2-5 Years,1200000,Looking for Frontend Developer,"Spark, SQL, Docker, Tableau"
Data Analyst,Pune,2-5 Years,900000,Looking for Data Analyst,"Docker, Java, SQL, AWS"
Data Analyst,Bangalore,2-5 Years,1000000,Looking for Data Analyst,"Machine Learning, Power BI, Excel, TensorFlow"
Backend Developer,Pune,8+ Years,2800000,Looking for Backend Developer,"Java, Tableau, Excel, TensorFlow"
Frontend Developer,Pune,0-2 Years,600000,Looking for Frontend Developer,"React, Excel, Tableau, AWS"
Full Stack Developer,Chennai,2-5 Years,1200000,Looking for Full Stack Developer,"Tableau, AWS, Machine Learning, Power BI"
Data Analyst,Pune,0-2 Years,600000,Looking for Data Analyst,"TensorFlow, Java, Kubernetes, Power BI"
AI Engineer,Chennai,0-2 Years,700000,Looking for AI Engineer,"Python, TensorFlow, Machine Learning, Kubernetes"
ML Engineer,Mumbai,2-5 Years,1300000,Looking for ML Engineer,"C++, Power BI, Excel, Docker"
Data Scientist,Hyderabad,8+ Years,3900000,Looking for Data Scientist,"Docker, Tableau, Java, SQL"
DevOps Engineer,Delhi,0-2 Years,600000,Looking for DevOps Engineer,"AWS, React, TensorFlow, Kubernetes"
Data Scientist,Mumbai,2-5 Years,1500000,Looking for Data Scientist,"AWS, Excel, SQL, Tableau"
Data Scientist,Pune,0-2 Years,600000,Looking for Data Scientist,"Power BI, TensorFlow, Kubernetes, Tableau"
Data Scientist,Bangalore,0-2 Years,400000,Looking for Data Scientist,"Tableau, TensorFlow, AWS, Python"
Full Stack Developer,Bangalore,5-8 Years,1500000,Looking for Full Stack Developer,"Docker, Machine Learning, C++, Java"
Cloud Engineer,Hyderabad,8+ Years,3500000,Looking for Cloud Engineer,"Machine Learning, Tableau, Java, React"
ML Engineer,Chennai,5-8 Years,2400000,Looking for ML Engineer,"AWS, Excel, Python, Machine Learning"
Full Stack Developer,Delhi,2-5 Years,1100000,Looking for Full Stack Developer,"Python, Power BI, Excel, C++"
Data Analyst,Bangalore,8+ Years,3400000,Looking for Data Analyst,"Docker, Java, Excel, TensorFlow"
Full Stack Developer,Delhi,2-5 Years,1000000,Looking for Full Stack Developer,"Docker, Java, Excel, Python"
Data Scientist,Hyderabad,0-2 Years,800000,Looking for Data Scientist,"AWS, SQL, Spark, TensorFlow"
Data Scientist,Bangalore,8+ Years,2600000,Looking for Data Scientist,"Java, Docker, Spark, SQL"
DevOps Engineer,Pune,0-2 Years,500000,Looking for DevOps Engineer,"Python, Java, Machine Learning, Excel"
Frontend Developer,Chennai,5-8 Years,2200000,Looking for Frontend Developer,"Java, Docker, React, Excel"
Frontend Developer,Bangalore,2-5 Years,1300000,Looking for Frontend Developer,"Tableau, Machine Learning, C++, SQL"
Data Analyst,Delhi,5-8 Years,1800000,Looking for Data Analyst,"Kubernetes, Power BI, Machine Learning, C++"
ML Engineer,Pune,2-5 Years,1000000,Looking for ML Engineer,"React, C++, AWS, Kubernetes"
ML Engineer,Mumbai,0-2 Years,800000,Looking for ML Engineer,"Spark, C++, Java, Tableau"
Data Scientist,Pune,0-2 Years,500000,Looking for Data Scientist,"Tableau, Python, AWS, React"
Data Analyst,Hyderabad,2-5 Years,1400000,Looking for Data Analyst,"React, TensorFlow, Excel, SQL"
Full Stack Developer,Mumbai,8+ Years,3400000,Looking for Full Stack Developer,"TensorFlow, React, SQL, Machine Learning"
Backend Developer,Mumbai,8+ Years,2500000,Looking for Backend Developer,"Excel, Machine Learning, Kubernetes, Tableau"
Cloud Engineer,Hyderabad,2-5 Years,1400000,Looking for Cloud Engineer,"Power BI, React, Tableau, Spark"
Cloud Engineer,Mumbai,8+ Years,2900000,Looking for Cloud Engineer,"Python, Docker, Excel, Power BI"
Data Analyst,Bangalore,0-2 Years,600000,Looking for Data Analyst,"Kubernetes, Spark, AWS, SQL"
Cloud Engineer,Chennai,2-5 Years,1400000,Looking for Cloud Engineer,"Spark, C++, TensorFlow, React"
Frontend Developer,Pune,2-5 Years,1200000,Looking for Frontend Developer,"C++, Power BI, Docker, AWS"
Cloud Engineer,Delhi,2-5 Years,1400000,Looking for Cloud Engineer,"Kubernetes, TensorFlow, React, C++"
ML Engineer,Delhi,8+ Years,3300000,Looking for ML Engineer,"Machine Learning, SQL, Python, Tableau"
AI Engineer,Mumbai,0-2 Years,600000,Looking for AI Engineer,"Tableau, SQL, C++, Excel"
ML Engineer,Delhi,0-2 Years,700000,Looking for ML Engineer,"Excel, Python, Machine Learning, Docker"
Cloud Engineer,Bangalore,5-8 Years,1700000,Looking for Cloud Engineer,"Docker, Spark, TensorFlow, Machine Learning"
Data Analyst,Bangalore,2-5 Years,1400000,Looking for Data Analyst,"TensorFlow, Java, AWS, React"
DevOps Engineer,Delhi,0-2 Years,500000,Looking for DevOps Engineer,"Excel, Docker, Kubernetes, React"
ML Engineer,Pune,8+ Years,2600000,Looking for ML Engineer,"Docker, Java, C++, SQL"
Data Analyst,Hyderabad,0-2 Years,500000,Looking for Data Analyst,"Kubernetes, Machine Learning, Python, Docker"
AI Engineer,Delhi,5-8 Years,1900000,Looking for AI Engineer,"Excel, SQL, Tableau, Spark"
DevOps Engineer,Chennai,8+ Years,3200000,Looking for DevOps Engineer,"Python, Kubernetes, Spark, Java"
Data Analyst,Hyderabad,2-5 Years,1300000,Looking for Data Analyst,"Python, Excel, Java, Spark"
Full Stack Developer,Bangalore,2-5 Years,1000000,Looking for Full Stack Developer,"Docker, Kubernetes, TensorFlow, Java"
Cloud Engineer,Hyderabad,2-5 Years,1000000,Looking for Cloud Engineer,"React, Docker, Excel, Power BI"
DevOps Engineer,Chennai,5-8 Years,2300000,Looking for DevOps Engineer,"Docker, TensorFlow, Excel, Tableau"
Frontend Developer,Chennai,8+ Years,2600000,Looking for Frontend Developer,"Kubernetes, SQL, React, AWS"
Backend Developer,Hyderabad,0-2 Years,500000,Looking for Backend Developer,"Power BI, TensorFlow, Java, Docker"
Backend Developer,Pune,2-5 Years,1200000,Looking for Backend Developer,"Spark, Docker, Machine Learning, C++"
Full Stack Developer,Hyderabad,8+ Years,3200000,Looking for Full Stack Developer,"Power BI, AWS, Excel, C++"
Frontend Developer,Hyderabad,0-2 Years,600000,Looking for Frontend Developer,"AWS, Spark, Docker, Excel"
DevOps Engineer,Bangalore,5-8 Years,1700000,Looking for DevOps Engineer,"Spark, Java, Kubernetes, AWS"
Full Stack Developer,Pune,5-8 Years,2100000,Looking for Full Stack Developer,"Machine Learning, Excel, SQL, Tableau"
ML Engineer,Chennai,0-2 Years,500000,Looking for ML Engineer,"Python, Spark, SQL, Docker"
Full Stack Developer,Bangalore,8+ Years,3800000,Looking for Full Stack Developer,"Excel, Python, React, Java"
AI Engineer,Mumbai,2-5 Years,1400000,Looking for AI Engineer,"C++, Machine Learning, TensorFlow, Excel"
Data Scientist,Mumbai,8+ Years,3000000,Looking for Data Scientist,"Power BI, Tableau, SQL, Python"
Data Analyst,Chennai,0-2 Years,400000,Looking for Data Analyst,"Machine Learning, Excel, Power BI, SQL"
DevOps Engineer,Chennai,0-2 Years,500000,Looking for DevOps Engineer,"SQL, Power BI, TensorFlow, Java"
Full Stack Developer,Delhi,5-8 Years,2200000,Looking for Full Stack Developer,"React, AWS, Power BI, Java"
AI Engineer,Chennai,0-2 Years,600000,Looking for AI Engineer,"Java, Machine Learning, React, Excel"
AI Engineer,Pune,2-5 Years,1200000,Looking for AI Engineer,"Power BI, Kubernetes, Spark, Excel"
DevOps Engineer,Chennai,2-5 Years,800000,Looking for DevOps Engineer,"Excel, AWS, Tableau, Power BI"
ML Engineer,Delhi,0-2 Years,500000,Looking for ML Engineer,"Excel, TensorFlow, Docker, Kubernetes"
Data Scientist,Hyderabad,0-2 Years,400000,Looking for Data Scientist,"React, Excel, Kubernetes, Spark"
ML Engineer,Hyderabad,5-8 Years,1700000,Looking for ML Engineer,"AWS, Machine Learning, Power BI, Excel"
Data Analyst,Hyderabad,2-5 Years,1300000,Looking for Data Analyst,"Docker, Spark, React, Machine Learning"
AI Engineer,Pune,5-8 Years,1600000,Looking for AI Engineer,"Docker, Spark, C++, Java"
Cloud Engineer,Mumbai,8+ Years,2900000,Looking for Cloud Engineer,"AWS, TensorFlow, C++, SQL"
AI Engineer,Delhi,8+ Years,2600000,Looking for AI Engineer,"Power BI, Machine Learning, SQL, AWS"
Full Stack Developer,Bangalore,8+ Years,2800000,Looking for Full Stack Developer,"Spark, React, Docker, Tableau"
Backend Developer,Mumbai,5-8 Years,2100000,Looking for Backend Developer,"Kubernetes, C++, Power BI, AWS"
ML Engineer,Mumbai,5-8 Years,2400000,Looking for ML Engineer,"Power BI, Docker, Python, Machine Learning"
Data Scientist,Mumbai,0-2 Years,600000,Looking for Data Scientist,"Machine Learning, C++, Java, Power BI"
Cloud Engineer,Chennai,8+ Years,3100000,Looking for Cloud Engineer,"Power BI, Kubernetes, React, TensorFlow"
Data Analyst,Bangalore,0-2 Years,600000,Looking for Data Analyst,"Power BI, Python, React, AWS"
Data Analyst,Bangalore,0-2 Years,400000,Looking for Data Analyst,"TensorFlow, Kubernetes, Java, Excel"
ML Engineer,Pune,5-8 Years,2100000,Looking for ML Engineer,"Java, Kubernetes, Excel, SQL"
Data Analyst,Hyderabad,2-5 Years,1400000,Looking for Data Analyst,"Power BI, SQL, Machine Learning, Kubernetes"
AI Engineer,Delhi,8+ Years,3700000,Looking for AI Engineer,"Python, Tableau, C++, Excel"
Backend Developer,Delhi,2-5 Years,1300000,Looking for Backend Developer,"C++, Java, TensorFlow, Tableau"
Cloud Engineer,Delhi,8+ Years,4000000,Looking for Cloud Engineer,"SQL, Excel, C++, Kubernetes"
Cloud Engineer,Chennai,0-2 Years,700000,Looking for Cloud Engineer,"AWS, C++, React, Power BI"
AI Engineer,Mumbai,2-5 Years,1500000,Looking for AI Engineer,"C++, SQL, Excel, React"
AI Engineer,Hyderabad,8+ Years,3300000,Looking for AI Engineer,"Python, Kubernetes, Spark, React"
ML Engineer,Bangalore,0-2 Years,800000,Looking for ML Engineer,"React, Java, TensorFlow, SQL"
DevOps Engineer,Hyderabad,2-5 Years,1000000,Looking for DevOps Engineer,"TensorFlow, Docker, SQL, C++"
Cloud Engineer,Hyderabad,8+ Years,2600000,Looking for Cloud Engineer,"Docker, C++, Java, Tableau"
Frontend Developer,Bangalore,2-5 Years,900000,Looking for Frontend Developer,"Kubernetes, React, Excel, Docker"
Data Scientist,Hyderabad,5-8 Years,1500000,Looking for Data Scientist,"AWS, Java, Docker, C++"
ML Engineer,Mumbai,5-8 Years,2000000,Looking for ML Engineer,"SQL, Power BI, AWS, TensorFlow"
Data Scientist,Mumbai,8+ Years,3800000,Looking for Data Scientist,"Machine Learning, Java, Docker, Power BI"
ML Engineer,Hyderabad,5-8 Years,1600000,Looking for ML Engineer,"SQL, TensorFlow, Python, Machine Learning"
Frontend Developer,Delhi,2-5 Years,1400000,Looking for Frontend Developer,"Python, TensorFlow, SQL, Java"
Full Stack Developer,Pune,8+ Years,3200000,Looking for Full Stack Developer,"AWS, Tableau, SQL, Kubernetes"
AI Engineer,Bangalore,2-5 Years,900000,Looking for AI Engineer,"Machine Learning, C++, Docker, Kubernetes"
Data Scientist,Chennai,2-5 Years,900000,Looking for Data Scientist,"SQL, C++, Excel, TensorFlow"
Frontend Developer,Pune,8+ Years,3600000,Looking for Frontend Developer,"TensorFlow, React, Tableau, Java"
Data Analyst,Pune,5-8 Years,2500000,Looking for Data Analyst,"Python, Docker, Power BI, Machine Learning"
Backend Developer,Delhi,0-2 Years,600000,Looking for Backend Developer,"Machine Learning, Tableau, Python, Spark"
ML Engineer,Bangalore,5-8 Years,1700000,Looking for ML Engineer,"AWS, Tableau, Kubernetes, Excel"
Cloud Engineer,Delhi,5-8 Years,2300000,Looking for Cloud Engineer,"Python, Machine Learning, TensorFlow, C++"
Backend Developer,Chennai,5-8 Years,1800000,Looking for Backend Developer,"Spark, Excel, Kubernetes, Python"
Data Analyst,Delhi,8+ Years,3500000,Looking for Data Analyst,"Docker, Excel, Java, Spark"
DevOps Engineer,Bangalore,8+ Years,3300000,Looking for DevOps Engineer,"Power BI, Java, SQL, Excel"
Backend Developer,Pune,8+ Years,3000000,Looking for Backend Developer,"AWS, Python, Power BI, Machine Learning"
Full Stack Developer,Chennai,2-5 Years,1300000,Looking for Full Stack Developer,"AWS, Tableau, SQL, C++"
Full Stack Developer,Chennai,0-2 Years,700000,Looking for Full Stack Developer,"Power BI, Java, Machine Learning, React"
Full Stack Developer,Bangalore,0-2 Years,600000,Looking for Full Stack Developer,"C++, SQL, Tableau, Kubernetes"
Data Analyst,Pune,5-8 Years,1700000,Looking for Data Analyst,"TensorFlow, AWS, React, Java"
Data Analyst,Chennai,2-5 Years,1300000,Looking for Data Analyst,"Kubernetes, Machine Learning, AWS, Python"
Data Analyst,Bangalore,8+ Years,4000000,Looking for Data Analyst,"SQL, AWS, Excel, Docker"
Data Analyst,Hyderabad,8+ Years,2800000,Looking for Data Analyst,"C++, Kubernetes, Java, Power BI"
DevOps Engineer,Mumbai,0-2 Years,500000,Looking for DevOps Engineer,"C++, Docker, Spark, AWS"
ML Engineer,Hyderabad,0-2 Years,700000,Looking for ML Engineer,"AWS, C++, Kubernetes, SQL"
Backend Developer,Bangalore,5-8 Years,2200000,Looking for Backend Developer,"Excel, Spark, Tableau, Docker"
ML Engineer,Bangalore,2-5 Years,1100000,Looking for ML Engineer,"Docker, Kubernetes, Machine Learning, Excel"
Data Scientist,Delhi,0-2 Years,800000,Looking for Data Scientist,"AWS, C++, Excel, Machine Learning"
Backend Developer,Pune,5-8 Years,2100000,Looking for Backend Developer,"Power BI, TensorFlow, Kubernetes, Python"
Data Scientist,Pune,0-2 Years,500000,Looking for Data Scientist,"Tableau, AWS, SQL, Python"
Backend Developer,Chennai,8+ Years,3200000,Looking for Backend Developer,"Docker, Spark, React, Python"
AI Engineer,Chennai,0-2 Years,800000,Looking for AI Engineer,"Docker, TensorFlow, Power BI, Python"
Frontend Developer,Hyderabad,0-2 Years,700000,Looking for Frontend Developer,"Excel, Tableau, SQL, C++"
Data Analyst,Pune,8+ Years,2900000,Looking for Data Analyst,"Tableau, React, SQL, Spark"
Full Stack Developer,Pune,8+ Years,3900000,Looking for Full Stack Developer,"Docker, React, Java, Machine Learning"
